Epoch: 1, Train Loss: 2.8393370440077885, Val Loss: 2.2972242602935204, Took 0:03:19.676438, ETA: 1:03:13.852322

Epoch: 2, Train Loss: 2.1350400096357123, Val Loss: 2.016221979489693, Took 0:03:18.204808, ETA: 0:59:27.686544

Epoch: 3, Train Loss: 1.8931495188131864, Val Loss: 1.8037234338430257, Took 0:03:15.389058, ETA: 0:55:21.613986

Epoch: 4, Train Loss: 1.741294455835236, Val Loss: 1.72747115951318, Took 0:03:08.138037, ETA: 0:50:10.208592

Epoch: 5, Train Loss: 1.6424057047254539, Val Loss: 1.6335125799362475, Took 0:03:08.158362, ETA: 0:47:02.375430

Epoch: 6, Train Loss: 1.5601147921811869, Val Loss: 1.5953610190978418, Took 0:03:08.606300, ETA: 0:44:00.488200

Epoch: 7, Train Loss: 1.5076262898199548, Val Loss: 1.5539682012337905, Took 0:03:13.698770, ETA: 0:41:58.084010

Epoch: 8, Train Loss: 1.4630066054061759, Val Loss: 1.539213625742839, Took 0:03:14.641317, ETA: 0:38:55.695804

Epoch: 9, Train Loss: 1.4186425596859322, Val Loss: 1.5157017959998205, Took 0:03:19.724145, ETA: 0:36:36.965595

Epoch: 10, Train Loss: 1.3869574911604623, Val Loss: 1.4775765203512632, Took 0:03:12.903599, ETA: 0:32:09.035990

Epoch: 11, Train Loss: 1.3511157410339225, Val Loss: 1.47245727456533, Took 0:03:08.096527, ETA: 0:28:12.868743

Epoch: 12, Train Loss: 1.3244777716792193, Val Loss: 1.4676373545940107, Took 0:03:18.351938, ETA: 0:26:26.815504

Epoch: 13, Train Loss: 1.2967243853556751, Val Loss: 1.4636887059761927, Took 0:03:04.404597, ETA: 0:21:30.832179

Epoch: 14, Train Loss: 1.272385191303466, Val Loss: 1.4516414128817046, Took 0:03:10.241459, ETA: 0:19:01.448754

Test Performance: Loss: 1.445124865846431, Perplexity: 4.242381838348436, Bleu1: 68.44469538776588, Bleu4: 8.551658821017538
