Epoch: 1, Train Loss: 2.6453903457125882, Val Loss: 2.156589310902816, Took 0:03:25.482772, ETA: 1:05:04.172668

Epoch: 2, Train Loss: 1.990121430081871, Val Loss: 1.84531872685139, Took 0:03:16.518411, ETA: 0:58:57.331398

Epoch: 3, Train Loss: 1.75007596251279, Val Loss: 1.6980419942965874, Took 0:03:07.160476, ETA: 0:53:01.728092

Epoch: 4, Train Loss: 1.6269589597063514, Val Loss: 1.6147345212789683, Took 0:03:03.538155, ETA: 0:48:56.610480

Epoch: 5, Train Loss: 1.5334594461539273, Val Loss: 1.5606220671763786, Took 0:03:08.134690, ETA: 0:47:02.020350

Epoch: 6, Train Loss: 1.476065826774155, Val Loss: 1.5329543553865872, Took 0:03:10.914189, ETA: 0:44:32.798646

Epoch: 7, Train Loss: 1.42343320780046, Val Loss: 1.4895556174791775, Took 0:03:12.931697, ETA: 0:41:48.112061

Epoch: 8, Train Loss: 1.377729508958661, Val Loss: 1.4859897540165827, Took 0:03:23.393006, ETA: 0:40:40.716072

Epoch: 9, Train Loss: 1.336693208514365, Val Loss: 1.4484076687922844, Took 0:03:16.135241, ETA: 0:35:57.487651

