Epoch: 1, Train Loss: 3.6516155802812102, Val Loss: 3.082730832477334, Took 0:04:34.269011, ETA: 0:41:08.421099

Epoch: 2, Train Loss: 2.857979613328906, Val Loss: 2.6778713828348284, Took 0:04:35.034002, ETA: 0:36:40.272016

Epoch: 3, Train Loss: 2.5439598934413485, Val Loss: 2.443072967317574, Took 0:05:02.371054, ETA: 0:35:16.597378

Epoch: 4, Train Loss: 2.3561879368037157, Val Loss: 2.2958121527576076, Took 0:04:42.058297, ETA: 0:28:12.349782

Epoch: 5, Train Loss: 2.234605442827724, Val Loss: 2.215365632850691, Took 0:04:41.494949, ETA: 0:23:27.474745

Epoch: 6, Train Loss: 2.140840978536976, Val Loss: 2.147593723300801, Took 0:04:43.098563, ETA: 0:18:52.394252

Epoch: 7, Train Loss: 2.071156698750641, Val Loss: 2.084021845724592, Took 0:04:40.101665, ETA: 0:14:00.304995

Epoch: 8, Train Loss: 2.0087095688765437, Val Loss: 2.0350525139841795, Took 0:04:41.565416, ETA: 0:09:23.130832

Epoch: 9, Train Loss: 1.9594707983480193, Val Loss: 2.005105658042385, Took 0:04:41.669384, ETA: 0:04:41.669384

Epoch: 10, Train Loss: 1.9215641392482457, Val Loss: 1.9718709491394661, Took 0:04:39.184679, ETA: 0:00:00

Test Performance: Loss: 1.9698563747512647, Perplexity: 7.169646672107952, Bleu1: 67.00019188864275, Bleu4: 7.079641878812134
