Epoch: 1, Train Loss: 3.5370219443637074, Val Loss: 2.9265008322520605, Took 0:05:11.813796, ETA: 0:46:46.324164

Epoch: 2, Train Loss: 2.7282616299450924, Val Loss: 2.5584963454242837, Took 0:05:13.393546, ETA: 0:41:47.148368

Epoch: 3, Train Loss: 2.428890692635037, Val Loss: 2.3458434311119287, Took 0:05:12.475716, ETA: 0:36:27.330012

Epoch: 4, Train Loss: 2.239841472286348, Val Loss: 2.2148931896364368, Took 0:05:07.137948, ETA: 0:30:42.827688

Epoch: 5, Train Loss: 2.1253002824945035, Val Loss: 2.122932601849545, Took 0:05:10.246382, ETA: 0:25:51.231910

Epoch: 6, Train Loss: 2.038947969284864, Val Loss: 2.05464673387498, Took 0:05:09.905971, ETA: 0:20:39.623884

Epoch: 7, Train Loss: 1.973628988258827, Val Loss: 1.9996335752682337, Took 0:05:09.481217, ETA: 0:15:28.443651

Epoch: 8, Train Loss: 1.9173820731235078, Val Loss: 1.9665020634078612, Took 0:04:49.934324, ETA: 0:09:39.868648

Epoch: 9, Train Loss: 1.8727419102209837, Val Loss: 1.9405063441361239, Took 0:04:41.651304, ETA: 0:04:41.651304

Epoch: 10, Train Loss: 1.8383325651291231, Val Loss: 1.9195544984349873, Took 0:04:55.588693, ETA: 0:00:00

