Epoch: 1, Train Loss: 3.8036028193056035, Val Loss: 3.248734199632549, Took 0:05:34.820162, ETA: 0:50:13.381458

Epoch: 2, Train Loss: 3.098914370999415, Val Loss: 2.960910562382702, Took 0:06:51.109428, ETA: 0:54:48.875424

Epoch: 3, Train Loss: 2.8698867951424036, Val Loss: 2.78281839749988, Took 0:05:07.301713, ETA: 0:35:51.111991

Epoch: 4, Train Loss: 2.698735987994261, Val Loss: 2.6542694303980205, Took 0:05:26.008305, ETA: 0:32:36.049830

Epoch: 5, Train Loss: 2.5660739168124946, Val Loss: 2.532639153905817, Took 0:05:07.081492, ETA: 0:25:35.407460

Epoch: 6, Train Loss: 2.461211750143509, Val Loss: 2.4290793121551455, Took 0:04:38.981385, ETA: 0:18:35.925540

Epoch: 7, Train Loss: 2.377211190646594, Val Loss: 2.359538498992625, Took 0:04:38.396295, ETA: 0:13:55.188885

Epoch: 8, Train Loss: 2.309212971920874, Val Loss: 2.308162077053173, Took 0:04:36.427562, ETA: 0:09:12.855124

Epoch: 9, Train Loss: 2.2465346965392685, Val Loss: 2.250010132559478, Took 0:04:37.026066, ETA: 0:04:37.026066

Epoch: 10, Train Loss: 2.1992604726372575, Val Loss: 2.202210858291641, Took 0:04:37.347076, ETA: 0:00:00

Test Performance: Loss: 2.1963992225476345, Perplexity: 8.992574871506921, Bleu1: 63.229420495559786, Bleu4: 5.162691916525711
