Epoch: 1, Train Loss: 3.6774437283722468, Val Loss: 3.194281710621013, Took 0:04:52.817127, ETA: 0:43:55.354143

Epoch: 2, Train Loss: 3.083131420507429, Val Loss: 2.960119713227261, Took 0:04:59.211247, ETA: 0:39:53.689976

Epoch: 3, Train Loss: 2.8701661289134845, Val Loss: 2.779419728917965, Took 0:05:05.320422, ETA: 0:35:37.242954

Epoch: 4, Train Loss: 2.6984160188749438, Val Loss: 2.6245626880855633, Took 0:05:10.218887, ETA: 0:31:01.313322

Epoch: 5, Train Loss: 2.5590499669191895, Val Loss: 2.5245297452197573, Took 0:05:08.047026, ETA: 0:25:40.235130

Epoch: 6, Train Loss: 2.4597005863050505, Val Loss: 2.4335522895614154, Took 0:05:17.898575, ETA: 0:21:11.594300

Epoch: 7, Train Loss: 2.3776191316415476, Val Loss: 2.3476588666208924, Took 0:05:20.440698, ETA: 0:16:01.322094

Epoch: 8, Train Loss: 2.3070665726233868, Val Loss: 2.2910507270728298, Took 0:05:07.192778, ETA: 0:10:14.385556

Epoch: 9, Train Loss: 2.2475018283153556, Val Loss: 2.254376437903371, Took 0:05:01.677894, ETA: 0:05:01.677894

Epoch: 10, Train Loss: 2.1944095599316147, Val Loss: 2.2116629021048086, Took 0:05:07.341952, ETA: 0:00:00

